用語,読み,ページ,種類,分野,国,立場,開始年,終了年,時代,メモ
貞享暦,貞(じょう)享(きょう)暦(れき),190,その他,思想・学問,,,1684,1684,,
上宮聖徳法王帝説,上(じょう)宮(ぐう)聖(しょう)徳(とく)法(ほう)王(おう)帝(てい)説(せつ),28,書物・史料,仏教,,,,,奈良;平安,
将軍継嗣問題,将(しょう)軍(ぐん)継(けい)嗣(し)問(もん)題(だい),224,事件・戦争・乱,政治・政策,,,1857,1858,,
将軍後見職,将(しょう)軍(ぐん)後(こう)見(けん)職(しょく),225,制度・役職,政治・政策,,,1862,1864,,
貞慶,貞(じょう)慶(けい),106,人物,仏教,日本,僧侶・宗教家,1190,1213,,
上皇,上(じょう)皇(こう),77,制度・役職,政治・政策,,,,,平安;鎌倉,
成功,成(じょう)功(ごう),71;79,制度・役職,政治・政策,,,,,平安,
彰考館,彰(しょう)考(こう)館(かん),177,組織・団体・政党,思想・学問,,,1657,1657,,
正作,正(しょう)作(さく),97,その他,土地・税制;農林漁業,,,,,鎌倉,
城柵,城(じょう)柵(さく),56,寺社・遺跡・場所,北方・アイヌ;戦争・軍事,,,,,飛鳥;奈良;平安,
尚歯会,尚(しょう)歯(し)会(かい),209,組織・団体・政党,思想・学問,,,1832,1839,,
成実宗,成(じょう)実(じつ)宗(しゅう),52,文化・流派,仏教,,,,,奈良,
商社,商(しょう)社(しゃ),281,組織・団体・政党,商業・流通・都市,,,1880,1910,,
小説神髄,小(しょう)説(せつ)神(しん)髄(ずい),290,書物・史料,文学,,,1885,1886,,
小選挙区制,小(しょう)選(せん)挙(きょ)区(く)制(せい),272,制度・役職,政治・政策,,,1919,1919,,
正倉院,正(しょう)倉(そう)院(いん),54,寺社・遺跡・場所,美術・建築,,,756,756,,
正倉院宝庫,正(しょう)倉(そう)院(いん)宝(ほう)庫(こ),53,寺社・遺跡・場所,美術・建築,,,756,756,,
尚泰,尚(しょう)泰(たい),245,人物,琉球・沖縄,その他,国王・皇帝（外国）,1848,1879,,琉球国王
城代,城(じょう)代(だい),157,制度・役職,政治・政策,,,,,江戸,
正中の変,正(しょう)中(ちゅう)の変(へん),110,事件・戦争・乱,政変・事件・反乱,,,1324,1324,,
定朝,定(じょう)朝(ちょう),68,人物,美術・建築;仏教,日本,芸術家,1020,1057,,
象徴天皇制,象(しょう)徴(ちょう)天(てん)皇(のう)制(せい),331,制度・役職,法制・制度,,,1946,1946,,
正長の徳政一揆,正(しょう)長(ちょう)の徳(とく)政(せい)一(いっ)揆(き),121,事件・戦争・乱,一揆・打ちこわし,,,1428,1428,,
上知令,上(あげ)知(ち)令(れい),211,法令・政策,政治・政策,,,1843,1843,,じょうちれい とも読む
上田,上(じょう)田(でん),47,その他,土地・税制,,,,,奈良,
賞典禄,賞(しょう)典(てん)禄(ろく),238,制度・役職,身分・社会構造,,,1869,1876,,
浄土教,浄(じょう)土(ど)教(きょう),66;84,文化・流派,仏教,,,,,平安,
正徳小判,正(しょう)徳(とく)小(こ)判(ばん),179,その他,貨幣・金融,,,1714,1714,,
正徳新令,正(しょう)徳(とく)新(しん)令(れい),179,法令・政策,対外関係;貨幣・金融,,,1715,1715,,
聖徳太子,聖(しょう)徳(とく)太(たい)子(し),33,人物,政治・政策;仏教,日本,天皇・皇族,593,622,,
称徳天皇,称(しょう)徳(とく)天(てん)皇(のう),47,人物,政治・政策,日本,天皇・皇族,764,770,,
正徳の政治,正(しょう)徳(とく)の政(せい)治(じ),179,その他,政治・政策,,,1709,1716,,
浄土宗,浄(じょう)土(ど)宗(しゅう),104,文化・流派,仏教,,,1175,1175,,
浄土真宗,浄(じょう)土(ど)真(しん)宗(しゅう),105,文化・流派,仏教,,,1224,1224,,
小日本主義,小(しょう)日(に)本(ほん)主(しゅ)義(ぎ),298,文化・流派,思想・学問,,,1920,1930,,
上人,上(しょう)人(にん),84,その他,仏教,,,,,平安,
尚巴志,尚(しょう)巴(は)志(し),118,人物,琉球・沖縄,その他,国王・皇帝（外国）,1429,1439,,琉球国王
定火消,定(じょう)火(び)消(けし),193,制度・役職,生活・風俗,,,1658,1867,,
消費税,消(しょう)費(ひ)税(ぜい),359;361,制度・役職,土地・税制,,,1989,1997,,
商品作物,商(しょう)品(ひん)作(さく)物(もつ),180,その他,農林漁業;商業・流通・都市,,,,,江戸,
蕉風（正風）俳諧,蕉(しょう)風(ふう)（正(しょう)風(ふう)）俳(はい)諧(かい),188,文化・流派,文学,,,1680,1694,,
正風連歌,正(しょう)風(ふう)連(れん)歌(が),130,文化・流派,文学,,,1450,1500,,
昌平坂学問所,昌(しょう)平(へい)坂(ざか)学(がく)問(もん)所(じょ),200;205,組織・団体・政党,教育;思想・学問,,,1797,1867,,
障壁画,障(しょう)壁(へき)画(が),147,文化・流派,美術・建築,,,1576,1615,,
正法,正(しょう)法(ぼう),67,その他,仏教,,,,,平安,
条坊制,条(じょう)坊(ぼう)制(せい),39;42,制度・役職,商業・流通・都市,,,,,飛鳥;奈良;平安,
常民,常(じょう)民(みん),298,その他,思想・学問,,,1910,1950,,
聖武天皇,聖(しょう)武(む)天(てん)皇(のう),45,人物,政治・政策;仏教,日本,天皇・皇族,724,749,,
定免法,定(じょう)免(めん)法(ほう),169;193,制度・役職,土地・税制,,,1722,1867,,
将門記,将(しょう)門(もん)記(き),83,書物・史料,文学,,,940,1000,,
縄文土器,縄(じょう)文(もん)土(ど)器(き),9,その他,考古,,,,,縄文,
縄文文化,縄(じょう)文(もん)文(ぶん)化(か),9,文化・流派,考古,,,,,縄文,
庄屋,庄(しょう)屋(や),168,制度・役職,身分・社会構造,,,,,江戸,
条里制,条(じょう)里(り)制(せい),40;48,制度・役職,土地・税制,,,,,奈良,
秤量貨幣,秤(ひょう)量(りょう)貨(か)幣(へい),184,その他,貨幣・金融,,,,,江戸,
性霊集,性(しょう)霊(りょう)集(しゅう),59,書物・史料,文学;仏教,,,835,835,,
生類憐みの令,生(しょう)類(るい)憐(あわれ)みの令(れい),150;178,法令・政策,政治・政策;生活・風俗,,,1685,1709,,
青蓮院流,青(しょう)蓮(れん)院(いん)流(りゅう),109,文化・流派,美術・建築,,,1330,1400,,
昭和恐慌,昭(しょう)和(わ)恐(きょう)慌(こう),304,事件・戦争・乱,貨幣・金融;農林漁業,,,1930,1931,,
承和の変,承(じょう)和(わ)の変(へん),62,事件・戦争・乱,政変・事件・反乱,,,842,842,,
女学校,女(じょ)学(がっ)校(こう),242,組織・団体・政党,教育;女性,,,1872,1900,,
初期荘園,初(しょ)期(き)荘(しょう)園(えん),48,その他,土地・税制,,,743,900,,
蜀,蜀(しょく),18,国・地域・王朝,対外関係,,,221,263,,
職業婦人,職(しょく)業(ぎょう)婦(ふ)人(じん),295,その他,女性;生活・風俗,,,1915,1935,,
殖産興業,殖(しょく)産(さん)興(こう)業(ぎょう),240,法令・政策,産業・工業,,,1870,1885,,
蜀山人,蜀(しょく)山(さん)人(じん),201,人物,文学,日本,文学者,1767,1823,,大田南畝
続日本紀,続(しょく)日(に)本(ほん)紀(ぎ),51,書物・史料,思想・学問,,,797,797,,
続日本後紀,続(しょく)日(に)本(ほん)後(こう)紀(き),51,書物・史料,思想・学問,,,869,869,,要確認：ページ番号
職人,職(しょく)人(にん),167,その他,身分・社会構造;産業・工業,,,,,江戸,
諸国高役（国役）金,諸(しょ)国(こく)高(たか)役(やく)（国(くに)役(やく)）金(きん),178,制度・役職,土地・税制,,,1707,1707,,
庶子,庶(しょ)子(し),97,その他,身分・社会構造,,,,,鎌倉,
所司,所(しょ)司(し),115,制度・役職,政治・政策,,,,,室町,
女子師範学校,女(じょ)子(し)師(し)範(はん)学(がっ)校(こう),242,組織・団体・政党,教育;女性,,,1874,1900,,
女子挺身隊,女(じょ)子(し)挺(てい)身(しん)隊(たい),321,組織・団体・政党,戦争・軍事;女性,,,1943,1945,,
諸司田,諸(しょ)司(し)田(でん),58,その他,土地・税制,,,,,平安,
諸社禰宜神主法度,諸(しょ)社(しゃ)禰(ね)宜(ぎ)神(かん)主(ぬし)法(はっ)度(と),160,法令・政策,神道,,,1665,1665,,
諸宗寺院法度,諸(しょ)宗(しゅう)寺(じ)院(いん)法(はっ)度(と),160,法令・政策,仏教,,,1665,1665,,
女真人,女(じょ)真(しん)人(じん),74;83,その他,対外関係,,,1019,1019,,
女性参政権,女(じょ)性(せい)参(さん)政(せい)権(けん),330,その他,女性;政治・政策,,,1945,1945,,
如拙,如(じょ)拙(せつ),126,人物,美術・建築;仏教,日本,芸術家,1400,1430,,
職工事情,職(しょっ)工(こう)事(じ)情(じょう),287,書物・史料,労働運動,,,1903,1903,,
所得倍増,所(しょ)得(とく)倍(ばい)増(ぞう),343,法令・政策,産業・工業,,,1960,1960,,
ジョン＝ケイ,ジョン＝ケイ,281,人物,産業・工業,イギリス,その他,1733,1733,,
ジョン＝ヘイ,ジョン＝ヘイ,261,人物,対外関係,アメリカ,政治家,1899,1900,,
白糸,白(しら)糸(いと),160,その他,対外関係;商業・流通・都市,,,,,江戸,
白樺派,白(しら)樺(かば)派(は),298,文化・流派,文学,,,1910,1923,,
白河天皇,白(しら)河(かわ)天(てん)皇(のう),77,人物,政治・政策,日本,天皇・皇族,1073,1129,,
新羅,新(しら)羅(ぎ),26;42,国・地域・王朝,対外関係,,,356,935,,
白浪物,白(しら)浪(なみ)物(もの),218,文化・流派,芸能,,,1820,1860,,
白水阿弥陀堂,白(しら)水(みず)阿(あ)弥(み)陀(だ)堂(どう),84,寺社・遺跡・場所,美術・建築;仏教,,,1160,1160,,
芝蘭堂,芝(し)蘭(らん)堂(どう),198;201,組織・団体・政党,教育;思想・学問,,,1786,1827,,
志波城,志(し)波(わ)城(じょう),56,寺社・遺跡・場所,北方・アイヌ;戦争・軍事,,,803,803,,
晋,晋(しん),26,国・地域・王朝,対外関係,,,265,420,,
清,清(しん),163;176,国・地域・王朝,対外関係,,,1644,1912,,
新安保条約,新(しん)安(あん)保(ぽ)条(じょう)約(やく),342,条約・協定・会議,対外関係;条約・会議,,,1960,1960,,
新恩給与,新(しん)恩(おん)給(きゅう)与(よ),92,制度・役職,土地・税制;身分・社会構造,,,1185,1333,,
辛亥革命,辛(しん)亥(がい)革(かく)命(めい),265,事件・戦争・乱,対外関係,,,1911,1912,,
新ガイドライン関連法,新(しん)ガイドライン関(かん)連(れん)法(ほう),361,法令・政策,対外関係;戦争・軍事,,,1999,1999,,
心学,心(しん)学(がく),199,文化・流派,思想・学問,,,1729,1800,,
新貨条例,新(しん)貨(か)条(じょう)例(れい),241;279,法令・政策,貨幣・金融,,,1871,1871,,
辰韓,辰(しん)韓(かん),26,国・地域・王朝,対外関係,,,,,弥生;古墳,
新感覚派,新(しん)感(かん)覚(かく)派(は),315,文化・流派,文学,,,1924,1930,,
神祇官,神(じん)祇(ぎ)官(かん),39,制度・役職,神道;政治・政策,,,701,1871,,
慎機論,慎(しん)機(き)論(ろん),209,書物・史料,対外関係;思想・学問,,,1838,1838,,
親魏倭王,親(しん)魏(ぎ)倭(わ)王(おう),18,制度・役職,対外関係,,,239,239,,
神宮寺,神(じん)宮(ぐう)寺(じ),60,寺社・遺跡・場所,神道;仏教,,,,,奈良;平安,
新劇,新(しん)劇(げき),291,文化・流派,芸能,,,1906,1930,,
新劇運動,新(しん)劇(げき)運(うん)動(どう),299,事件・戦争・乱,芸能,,,1906,1930,,
人権指令,人(じん)権(けん)指(し)令(れい),327,法令・政策,法制・制度,,,1945,1945,,
人権新説,人(じん)権(けん)新(しん)説(せつ),249,書物・史料,思想・学問,,,1882,1882,,
塵劫記,塵(じん)劫(こう)記(き),190,書物・史料,思想・学問,,,1627,1627,,
新興工業経済地域,新(しん)興(こう)工(こう)業(ぎょう)経(けい)済(ざい)地(ち)域(いき),358,国・地域・王朝,産業・工業;対外関係,,,1970,1990,,NIES
新興財閥,新(しん)興(こう)財(ざい)閥(ばつ),308,組織・団体・政党,産業・工業;植民地,,,1930,1945,,
新古今和歌集,新(しん)古(こ)今(きん)和(わ)歌(か)集(しゅう),107,書物・史料,文学,,,1205,1205,,
壬午軍乱（壬午事変）,壬(じん)午(ご)軍(ぐん)乱(らん)（壬(じん)午(ご)事(じ)変(へん)）,257,事件・戦争・乱,対外関係,,,1882,1882,,
神護寺,神(じん)護(ご)寺(じ),61,寺社・遺跡・場所,仏教,,,824,824,,
真言宗,真(しん)言(ごん)宗(しゅう),59,文化・流派,仏教,,,816,816,,
震災手形,震(しん)災(さい)手(て)形(がた),300,その他,貨幣・金融,,,1923,1927,,
新左翼,新(しん)左(さ)翼(よく),344,組織・団体・政党,社会運動,,,1960,1975,,
新三種の神器,新(しん)三(さん)種(しゅ)の神(じん)器(ぎ),349,その他,生活・風俗,,,1965,1975,,3C
新思潮派,新(しん)思(し)潮(ちょう)派(は),298,文化・流派,文学,,,1914,1925,,
真珠湾奇襲攻撃,真(しん)珠(じゅ)湾(わん)奇(き)襲(しゅう)攻(こう)撃(げき),319,事件・戦争・乱,戦争・軍事,,,1941,1941,,
尋常小学校,尋(じん)常(じょう)小(しょう)学(がっ)校(こう),289,組織・団体・政党,教育,,,1886,1941,,
新人,新(しん)人(じん),6,その他,考古,,,,,旧石器,
新人会,新(しん)人(じん)会(かい),276,組織・団体・政党,社会運動,,,1918,1929,,
壬申戸籍,壬(じん)申(しん)戸(こ)籍(せき),238,書物・史料,身分・社会構造,,,1872,1872,,
新進党,新(しん)進(しん)党(とう),361,組織・団体・政党,政治・政策,,,1994,1997,,
壬申の乱,壬(じん)申(しん)の乱(らん),38,事件・戦争・乱,戦争・軍事;政変・事件・反乱,,,672,672,,
新制,新(しん)制(せい),93,法令・政策,法制・制度,,,,,平安;鎌倉,
新石器時代,新(しん)石(せっ)器(き)時(じ)代(だい),7,その他,考古,,,,,縄文,
新撰組,新(しん)撰(せん)組(ぐみ),226,組織・団体・政党,戦争・軍事,,,1863,1868,,
新撰菟玖波集,新(しん)撰(せん)菟(つ)玖(く)波(ば)集(しゅう),130,書物・史料,文学,,,1495,1495,,
新体制運動,新(しん)体(たい)制(せい)運(うん)動(どう),317,事件・戦争・乱,政治・政策;戦争・軍事,,,1940,1940,,
新田開発,新(しん)田(でん)開(かい)発(はつ),172;193;197,法令・政策,農林漁業,,,1600,1850,,
伸展葬,伸(しん)展(てん)葬(そう),15,その他,考古,,,,,弥生,
寝殿造,寝(しん)殿(でん)造(づくり),67,文化・流派,美術・建築,,,,,平安,
新皇,新(しん)皇(のう),73,制度・役職,政変・事件・反乱,,,939,940,,
親王将軍,親(しん)王(のう)将(しょう)軍(ぐん),97,制度・役職,政治・政策,,,1252,1333,,
神皇正統記,神(じん)皇(のう)正(しょう)統(とう)記(き),126,書物・史料,思想・学問,,,1339,1339,,
陣定,陣(じんの)定(さだめ),64,制度・役職,政治・政策,,,,,平安,
新派劇,新(しん)派(ぱ)劇(げき),291,文化・流派,芸能,,,1888,1910,,
親藩,親(しん)藩(ぱん),155,その他,政治・政策,,,1600,1867,,
神風連,神(しん)風(ぷう)連(れん),247,組織・団体・政党,政変・事件・反乱,,,1876,1876,,
新婦人協会,新(しん)婦(ふ)人(じん)協(きょう)会(かい),276,組織・団体・政党,女性;社会運動,,,1920,1922,,
神仏習合,神(しん)仏(ぶつ)習(しゅう)合(ごう),52;106;243,文化・流派,神道;仏教,,,,,奈良;平安;鎌倉,
神仏分離令,神(しん)仏(ぶつ)分(ぶん)離(り)令(れい),243,法令・政策,神道;仏教,,,1868,1868,,
新聞紙条例,新(しん)聞(ぶん)紙(し)条(じょう)例(れい),248,法令・政策,社会運動;法制・制度,,,1875,1875,,
新聞発行綱領,新(しん)聞(ぶん)発(はっ)行(こう)綱(こう)領(りょう),327,法令・政策,法制・制度,,,1945,1945,,
新補地頭,新(しん)補(ぽ)地(じ)頭(とう),95,制度・役職,土地・税制,,,1221,1233,,
新補率法,新(しん)補(ぽ)率(りっ)法(ぽう),95,法令・政策,土地・税制,,,1223,1223,,
神本仏迹説,神(しん)本(ぽん)仏(ぶつ)迹(じゃく)説(せつ),106;129,文化・流派,神道,,,1300,1500,,
人民戦線事件,人(じん)民(みん)戦(せん)線(せん)事(じ)件(けん),315,事件・戦争・乱,社会運動,,,1937,1938,,
新民法,新(しん)民(みん)法(ぽう),331,法令・政策,法制・制度;女性,,,1947,1947,,
神武景気,神(じん)武(む)景(けい)気(き),346,その他,産業・工業,,,1955,1957,,
親鸞,親(しん)鸞(らん),104,人物,仏教,日本,僧侶・宗教家,1207,1262,,
隋,隋(ずい),33,国・地域・王朝,対外関係,,,581,618,,
垂加神道,垂(すい)加(か)神(しん)道(とう),189,文化・流派,神道;思想・学問,,,1660,1700,,
水干,水(すい)干(かん),69,その他,生活・風俗,,,,,平安,
出挙,出(すい)挙(こ),41,制度・役職,土地・税制,,,,,奈良;平安,
推古天皇,推(すい)古(こ)天(てん)皇(のう),33,人物,政治・政策,日本,天皇・皇族,592,628,,
帥升,帥(すい)升(しょう),18,人物,対外関係,日本,天皇・皇族,107,107,,倭国王
水稲農耕,水(すい)稲(とう)農(のう)耕(こう),13,その他,農林漁業;考古,,,,,縄文;弥生,
水墨画,水(すい)墨(ぼく)画(が),126,文化・流派,美術・建築,,,1350,1500,,
枢軸,枢(すう)軸(じく),311,その他,対外関係,,,1936,1945,,
枢軸国,枢(すう)軸(じく)国(こく),319,その他,対外関係;戦争・軍事,,,1936,1945,,
枢密院,枢(すう)密(みつ)院(いん),253,組織・団体・政党,政治・政策;法制・制度,,,1888,1947,,
須恵器,須(す)恵(え)器(き),27;30,その他,考古;産業・工業,,,,,古墳,
スエズ戦争,スエズ戦(せん)争(そう),354,事件・戦争・乱,対外関係,,,1956,1956,,
末次平蔵,末(すえ)次(つぐ)平(へい)蔵(ぞう),161,人物,対外関係;商業・流通・都市,日本,実業家,1604,1630,,
陶作部,陶(すえ)作(つくり)部(べ),27,制度・役職,産業・工業,,,,,古墳,
陶晴賢,陶(すえ)晴(はる)賢(かた),133,人物,戦争・軍事,日本,武家,1551,1555,,
末吉孫左衛門,末(すえ)吉(よし)孫(まご)左(ざ)衛(え)門(もん),161,人物,対外関係;商業・流通・都市,日本,実業家,1604,1617,,
菅江真澄,菅(すが)江(え)真(ま)澄(すみ),218,人物,思想・学問,日本,学者・思想家,1783,1829,,
菅野真道,菅(すが)野(のの)真(ま)道(みち),56,人物,政治・政策,日本,公家・貴族,797,805,,
菅原道真,菅(すが)原(わらの)道(みち)真(ざね),59;62;64,人物,政治・政策;文学,日本,公家・貴族,887,903,,
杉田玄白,杉(すぎ)田(た)玄(げん)白(ぱく),198,人物,思想・学問,日本,学者・思想家,1771,1815,,
数寄屋造,数(す)寄(き)屋(や)造(づくり),165,文化・流派,美術・建築,,,1600,1700,,
杉山元治郎,杉(すぎ)山(やま)元(もと)治(じ)郎(ろう),288,人物,農民運動,日本,社会運動家,1922,1930,,
助郷,助(すけ)郷(ごう),183,制度・役職,商業・流通・都市,,,1694,1867,,
崇峻天皇,崇(す)峻(しゅん)天(てん)皇(のう),33,人物,政治・政策,日本,天皇・皇族,587,592,,
調所広郷,調(ず)所(しょ)広(ひろ)郷(さと),212,人物,政治・政策,日本,武家,1827,1848,,
鈴木貫太郎,鈴(すず)木(き)貫(かん)太(た)郎(ろう),323,人物,政治・政策,日本,政治家;軍人,1945,1945,,
鈴木商店,鈴(すず)木(き)商(しょう)店(てん),301,組織・団体・政党,商業・流通・都市,,,1874,1927,,
鈴木善幸,鈴(すず)木(き)善(ぜん)幸(こう),356,人物,政治・政策,日本,政治家,1980,1982,,
鈴木春信,鈴(すず)木(き)春(はる)信(のぶ),202,人物,美術・建築,日本,芸術家,1765,1770,,
鈴木文治,鈴(すず)木(き)文(ぶん)治(じ),288,人物,労働運動,日本,社会運動家,1912,1930,,
鈴木牧之,鈴(すず)木(き)牧(ぼく)之(し),217,人物,文学,日本,文学者,1837,1842,,
鈴木三重吉,鈴(すず)木(き)三(み)重(え)吉(きち),297,人物,文学,日本,文学者,1918,1936,,
鈴木茂三郎,鈴(すず)木(き)茂(も)三(さぶ)郎(ろう),309,人物,社会運動;政治・政策,日本,政治家,1930,1960,,
崇徳上皇,崇(す)徳(とく)上(じょう)皇(こう),81,人物,政変・事件・反乱,日本,天皇・皇族,1156,1156,,
スーパーマーケット,スーパーマーケット,349,その他,商業・流通・都市;生活・風俗,,,1955,1970,,
スミソニアン体制,スミソニアン体(たい)制(せい),353,その他,貨幣・金融;対外関係,,,1971,1973,,
住友,住(すみ)友(とも),284,組織・団体・政党,産業・工業,,,,,江戸;明治,
角倉了以,角(すみの)倉(くら)了(りょう)以(い),183,人物,商業・流通・都市,日本,実業家,1604,1614,,
住吉具慶,住(すみ)吉(よし)具(ぐ)慶(けい),190,人物,美術・建築,日本,芸術家,1680,1705,,
住吉如慶,住(すみ)吉(よし)如(じょ)慶(けい),190,人物,美術・建築,日本,芸術家,1650,1670,,
相撲絵,相(す)撲(もう)絵(え),202,文化・流派,美術・建築,,,,,江戸,
受領,受(ず)領(りょう),63;70,制度・役職,政治・政策,,,,,平安,
世阿弥,世(ぜ)阿(あ)弥(み),127,人物,芸能,日本,芸術家,1374,1443,,
済,済(せい),27,人物,対外関係,日本,天皇・皇族,443,460,,倭の五王のひとり
西安事件,西(せい)安(あん)事(じ)件(けん),311,事件・戦争・乱,対外関係,,,1936,1936,,
征夷大将軍,征(せい)夷(い)大(たい)将(しょう)軍(ぐん),56;92,制度・役職,戦争・軍事;政治・政策,,,797,1867,,
正院,正(せい)院(いん),237,制度・役職,政治・政策,,,1871,1877,,
性学,性(せい)学(がく),211,文化・流派,思想・学問;農林漁業,,,1838,1858,,
征韓論,征(せい)韓(かん)論(ろん),245,その他,対外関係;政変・事件・反乱,,,1873,1873,,
政教社,政(せい)教(きょう)社(しゃ),251,組織・団体・政党,思想・学問,,,1888,1888,,
聖教要録,聖(せい)教(きょう)要(よう)録(ろく),189,書物・史料,思想・学問,,,1665,1665,,
生口,生(せい)口(こう),18,その他,身分・社会構造;対外関係,,,,,弥生,
製糸業,製(せい)糸(し)業(ぎょう),282,その他,産業・工業,,,1870,1930,,
政治小説,政(せい)治(じ)小(しょう)説(せつ),290,文化・流派,文学,,,1880,1890,,
政事総裁職,政(せい)事(じ)総(そう)裁(さい)職(しょく),225,制度・役職,政治・政策,,,1862,1864,,
政社,政(せい)社(しゃ),248,組織・団体・政党,社会運動,,,1874,1890,,
政商,政(せい)商(しょう),241;283,その他,商業・流通・都市;産業・工業,,,1870,1900,,
清少納言,清(せい)少(しょう)納(な)言(ごん),66,人物,文学;女性,日本,文学者,993,1001,,
政体書,政(せい)体(たい)書(しょ),229,法令・政策,法制・制度,,,1868,1868,,
青銅器時代,青(せい)銅(どう)器(き)時(じ)代(だい),7,その他,考古,,,,,弥生,
青鞜社,青(せい)鞜(とう)社(しゃ),276,組織・団体・政党,女性;文学,,,1911,1916,,
青銅製祭器,青(せい)銅(どう)製(せい)祭(さい)器(き),16,その他,考古,,,,,弥生,
西南戦争,西(せい)南(なん)戦(せん)争(そう),247,事件・戦争・乱,政変・事件・反乱;戦争・軍事,,,1877,1877,,
青年会,青(せい)年(ねん)会(かい),266,組織・団体・政党,社会運動,,,1900,1920,,
政府開発援助,政(せい)府(ふ)開(かい)発(はつ)援(えん)助(じょ),357,その他,対外関係,,,1954,1990,,ODA
西洋紀聞,西(せい)洋(よう)紀(き)聞(ぶん),198,書物・史料,対外関係;思想・学問,,,1715,1715,,
西洋事情,西(せい)洋(よう)事(じ)情(じょう),242,書物・史料,思想・学問,,,1866,1870,,
清良記,清(せい)良(りょう)記(き),180,書物・史料,農林漁業,,,1650,1700,,
政令201号,政(せい)令(れい)201号(ごう),334,法令・政策,労働運動,,,1948,1948,,
清和源氏,清(せい)和(わ)源(げん)氏(じ),73,人物,戦争・軍事,日本,武家,900,1219,,
清和天皇,清(せい)和(わ)天(てん)皇(のう),62,人物,政治・政策,日本,天皇・皇族,858,876,,
セオドア＝ローズヴェルト,セオドア＝ローズヴェルト,263,人物,対外関係,アメリカ,政治家,1905,1905,,
世界恐慌,世(せ)界(かい)恐(きょう)慌(こう),304,事件・戦争・乱,貨幣・金融;対外関係,,,1929,1933,,
関ヶ原の戦い,関(せき)ヶ(が)原(はら)の戦(たたか)い,154,事件・戦争・乱,戦争・軍事,,,1600,1600,,
石錘,石(せき)錘(すい),10,その他,考古;農林漁業,,,,,縄文,
関孝和,関(せき)孝(たか)和(かず),190,人物,思想・学問,日本,学者・思想家,1674,1708,,
石棒,石(せき)棒(ぼう),12,その他,考古,,,,,縄文,
石油危機（第1次）,石(せき)油(ゆ)危(き)機(き)（第(だい)1次(じ)）,354,事件・戦争・乱,産業・工業;対外関係,,,1973,1973,,
赤瀾会,赤(せき)瀾(らん)会(かい),276,組織・団体・政党,女性;社会運動,,,1921,1921,,
世間胸算用,世(せ)間(けん)胸(むな)算(ざん)用(よう),188,書物・史料,文学,,,1692,1692,,
絶海中津,絶(ぜっ)海(かい)中(ちゅう)津(しん),127,人物,仏教;文学,日本,僧侶・宗教家,1368,1405,,
摂関家,摂(せっ)関(かん)家(け),63,人物,政治・政策,日本,公家・貴族,858,1068,,
摂関政治,摂(せっ)関(かん)政(せい)治(じ),63,その他,政治・政策,,,858,1068,,
石器時代,石(せっ)器(き)時(じ)代(だい),7,その他,考古,,,,,旧石器;縄文,
摂家将軍,摂(せっ)家(け)将(しょう)軍(ぐん),94,制度・役職,政治・政策,,,1226,1252,,
雪舟,雪(せっ)舟(しゅう),128,人物,美術・建築,日本,芸術家,1467,1506,,
摂政,摂(せっ)政(しょう),62,制度・役職,政治・政策,,,858,1868,,
折衷学派,折(せっ)衷(ちゅう)学(がく)派(は),200,文化・流派,思想・学問,,,1750,1800,,
折衷様,折(せっ)衷(ちゅう)様(よう),108,文化・流派,美術・建築,,,1250,1400,,
摂津職,摂(せっ)津(つ)職(しき),39,制度・役職,法制・制度,,,,,奈良,
節用集,節(せつ)用(よう)集(しゅう),131,書物・史料,文学;教育,,,1450,1500,,
瀬戸焼,瀬(せ)戸(と)焼(やき),109,文化・流派,美術・建築;産業・工業,,,,,鎌倉,
銭座,銭(ぜに)座(ざ),184,組織・団体・政党,貨幣・金融,,,1636,1867,,
セミナリオ,セミナリオ,149,組織・団体・政党,キリスト教;教育,,,1580,1614,,
施薬院,施(せ)薬(やく)院(いん),52,組織・団体・政党,仏教;生活・風俗,,,730,730,,
善阿弥,善(ぜん)阿(あ)弥(み),128,人物,美術・建築,日本,芸術家,1440,1482,,
全学連,全(ぜん)学(がく)連(れん),342,組織・団体・政党,社会運動,,,1948,1970,,
戦旗,戦(せん)旗(き),299,書物・史料,文学,,,1928,1931,,
選挙干渉,選(せん)挙(きょ)干(かん)渉(しょう),255,事件・戦争・乱,政治・政策,,,1892,1892,,
前九年合戦,前(ぜん)九(く)年(ねん)合(かっ)戦(せん),77,事件・戦争・乱,戦争・軍事,,,1051,1062,,
戦後恐慌,戦(せん)後(ご)恐(きょう)慌(こう),276,事件・戦争・乱,貨幣・金融,,,1920,1920,,
全国水平社,全(ぜん)国(こく)水(すい)平(へい)社(しゃ),276,組織・団体・政党,社会運動;身分・社会構造,,,1922,1922,,
戦国大名,戦(せん)国(ごく)大(だい)名(みょう),132,人物,政治・政策;戦争・軍事,日本,武家,1467,1590,,
千石簁,千(せん)石(ごく)簁(どおし),179,その他,農林漁業,,,,,江戸,
戦後政治の総決算,戦(せん)後(ご)政(せい)治(じ)の総(そう)決(けっ)算(さん),359,その他,政治・政策,,,1982,1987,,
宣旨,宣(せん)旨(じ),64,書物・史料,政治・政策,,,,,平安,
宣旨枡,宣(せん)旨(じ)枡(ます),76,制度・役職,土地・税制,,,1072,1072,,
